b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.424	0.696	0.384	0.234	0.389	0.383	0.135	0.043	0.18	0.057	0.065	0.038	0.03	0.031	3.308	5.542	3.007	1.83	3.031	2.983	1.05
0.424	0.697	0.384	0.232	0.388	0.385	0.136	0.044	0.18	0.058	0.065	0.038	0.03	0.03	3.309	5.55	3.007	1.818	3.029	3.003	1.061
0.435	0.7	0.376	0.231	0.383	0.387	0.135	0.043	0.179	0.059	0.065	0.039	0.031	0.031	3.399	5.575	2.944	1.807	2.991	3.017	1.051
0.414	0.707	0.379	0.229	0.386	0.383	0.136	0.041	0.179	0.056	0.066	0.038	0.031	0.032	3.23	5.627	2.962	1.791	3.012	2.986	1.062
0.42	0.708	0.38	0.23	0.386	0.379	0.136	0.041	0.178	0.057	0.065	0.038	0.031	0.032	3.275	5.634	2.969	1.798	3.011	2.956	1.061
0.443	0.686	0.382	0.23	0.384	0.386	0.136	0.038	0.179	0.058	0.066	0.039	0.032	0.031	3.454	5.462	2.985	1.803	2.998	3.008	1.063
0.443	0.681	0.384	0.232	0.386	0.385	0.137	0.038	0.181	0.059	0.065	0.039	0.031	0.031	3.457	5.419	3.007	1.813	3.01	2.997	1.066
0.443	0.681	0.384	0.232	0.386	0.385	0.137	0.038	0.181	0.059	0.065	0.039	0.031	0.031	3.457	5.419	3.007	1.813	3.01	2.997	1.066
0.443	0.681	0.384	0.232	0.386	0.385	0.137	0.038	0.181	0.059	0.065	0.039	0.031	0.031	3.457	5.419	3.007	1.813	3.01	2.997	1.066
0.44	0.68	0.389	0.23	0.386	0.386	0.138	0.039	0.18	0.059	0.065	0.039	0.031	0.031	3.431	5.418	3.045	1.801	3.01	3.006	1.074
