b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.34	0.716	0.403	0.238	0.381	0.382	0.137	0.101	0.203	0.059	0.06	0.036	0.03	0.03	2.754	6.056	3.205	1.895	3.002	2.999	1.079
0.349	0.716	0.404	0.234	0.374	0.382	0.137	0.101	0.202	0.057	0.059	0.036	0.03	0.031	2.825	6.051	3.214	1.862	2.945	3.004	1.074
0.351	0.716	0.402	0.236	0.373	0.382	0.137	0.1	0.202	0.058	0.058	0.036	0.03	0.031	2.847	6.055	3.199	1.881	2.941	3.005	1.08
0.351	0.716	0.402	0.236	0.373	0.382	0.137	0.1	0.202	0.058	0.058	0.036	0.03	0.031	2.847	6.055	3.199	1.881	2.941	3.005	1.08
0.351	0.716	0.402	0.236	0.373	0.382	0.137	0.1	0.202	0.058	0.058	0.036	0.03	0.031	2.847	6.055	3.199	1.881	2.941	3.005	1.08
0.342	0.718	0.405	0.236	0.374	0.383	0.138	0.1	0.202	0.057	0.058	0.036	0.03	0.031	2.771	6.067	3.225	1.874	2.948	3.008	1.086
0.342	0.718	0.405	0.236	0.374	0.383	0.138	0.1	0.202	0.057	0.058	0.036	0.03	0.031	2.771	6.067	3.225	1.874	2.948	3.008	1.086
0.342	0.718	0.405	0.236	0.374	0.383	0.138	0.1	0.202	0.057	0.058	0.036	0.03	0.031	2.771	6.067	3.225	1.874	2.948	3.008	1.086
0.339	0.716	0.411	0.234	0.37	0.384	0.138	0.099	0.201	0.058	0.059	0.037	0.03	0.031	2.749	6.045	3.268	1.866	2.919	3.015	1.086
0.339	0.716	0.411	0.234	0.37	0.384	0.138	0.099	0.201	0.058	0.059	0.037	0.03	0.031	2.749	6.045	3.268	1.866	2.919	3.015	1.086
0.348	0.711	0.412	0.239	0.365	0.384	0.138	0.099	0.2	0.058	0.058	0.035	0.029	0.03	2.82	6.006	3.28	1.903	2.876	3.021	1.086
0.345	0.704	0.413	0.241	0.369	0.385	0.139	0.099	0.2	0.058	0.058	0.036	0.03	0.031	2.79	5.944	3.283	1.921	2.911	3.025	1.09
0.337	0.71	0.41	0.24	0.366	0.388	0.137	0.1	0.2	0.057	0.06	0.037	0.03	0.031	2.733	5.991	3.257	1.915	2.886	3.048	1.081
0.35	0.708	0.408	0.24	0.364	0.382	0.137	0.098	0.2	0.058	0.06	0.036	0.031	0.032	2.831	5.977	3.248	1.911	2.871	3.001	1.076
0.355	0.703	0.413	0.239	0.363	0.379	0.137	0.098	0.199	0.057	0.059	0.036	0.031	0.032	2.874	5.938	3.285	1.901	2.863	2.978	1.079
0.356	0.708	0.404	0.24	0.36	0.385	0.136	0.099	0.199	0.058	0.059	0.037	0.031	0.032	2.882	5.978	3.211	1.911	2.836	3.028	1.071
